"commodity","locations","season","exported_to"
"bajra","Rajasthan, Uttar Pradesh, Haryana, Gujarat, Maharashtra","Kharif","Saudi Arabia, UAE, Yemen, USA"
"barley","Rajasthan, Uttar Pradesh, Haryana, Madhya Pradesh, Punjab","Rabi","Saudi Arabia, UAE, Nepal, Japan"
"jowar","Maharashtra, Karnataka, Madhya Pradesh, Andhra Pradesh, Tamil Nadu","Both","USA, UAE, Nepal, China"
"maize","Karnataka, Andhra Pradesh, Maharashtra, Rajasthan, Madhya Pradesh","Both","Vietnam, Malaysia, Sri Lanka, Bangladesh, UAE"
"paddy","West Bengal, Punjab, Uttar Pradesh, Andhra Pradesh, Tamil Nadu","Kharif","Bangladesh, Saudi Arabia, Iran, Nepal, UAE"
"ragi","Karnataka, Tamil Nadu, Andhra Pradesh, Odisha, Maharashtra","Kharif","USA, UK, Germany, Australia"
"wheat","Punjab, Haryana, Uttar Pradesh, Madhya Pradesh, Bihar","Rabi","Bangladesh, Sri Lanka, UAE, Indonesia, Afghanistan"
"betelnut_arceanut","Karnataka, Kerala, Assam, Tamil Nadu, Meghalaya","Perennial","Nepal, Pakistan, Bangladesh, UAE"
"black_pepper","Kerala, Karnataka, Tamil Nadu","Perennial","USA, Germany, UK, Vietnam, UAE"
"cardamom","Kerala, Karnataka, Tamil Nadu","Perennial","Saudi Arabia, UAE, Kuwait, Qatar, Japan"
"chillies_dry","Andhra Pradesh, Telangana, Madhya Pradesh, Karnataka, Odisha","Both","Vietnam, Thailand, Sri Lanka, Bangladesh, USA"
"coriander","Rajasthan, Madhya Pradesh, Gujarat, Uttar Pradesh, Tamil Nadu","Rabi","Malaysia, Pakistan, Bangladesh, UAE, UK"
"cumin","Rajasthan, Gujarat","Rabi","Vietnam, USA, Bangladesh, UAE, UK"
"garlic","Madhya Pradesh, Gujarat, Uttar Pradesh, Rajasthan, Odisha","Rabi","Bangladesh, Nepal, Malaysia, Sri Lanka, UAE"
"ginger_dry","Kerala, Karnataka, Orissa, Assam, Meghalaya","Kharif","USA, UK, Netherlands, Saudi Arabia, UAE"
"tamarind","Tamil Nadu, Maharashtra, Karnataka, Andhra Pradesh, Odisha","Perennial","USA, UK, UAE, Saudi Arabia, Germany"
"turmeric","Telangana, Andhra Pradesh, Tamil Nadu, Odisha, Maharashtra","Kharif","UAE, USA, Iran, Japan, Malaysia"
"coir_fibre","Kerala, Tamil Nadu, Karnataka, Andhra Pradesh, Odisha","Perennial","USA, UK, Germany, Netherlands, Australia"
"mesta","West Bengal, Bihar, Assam, Andhra Pradesh, Odisha","Kharif","Nepal, Bangladesh, Thailand, Vietnam, Philippines"
"raw_cotton","Gujarat, Maharashtra, Telangana, Andhra Pradesh, Punjab","Kharif","Bangladesh, China, Vietnam, Pakistan, Indonesia"
"raw_jute","West Bengal, Bihar, Assam, Meghalaya, Odisha","Kharif","Nepal, Bangladesh, UK, USA, Australia"
"raw_silk","Karnataka, West Bengal, Jammu & Kashmir, Tamil Nadu, Assam","Perennial","USA, UK, Italy, France, Germany"
"raw_wool","Rajasthan, Jammu & Kashmir, Himachal Pradesh, Uttarakhand, Gujarat","Perennial","UK, Italy, Germany, China, USA"
"jasmine","Tamil Nadu, Karnataka, Andhra Pradesh, West Bengal","Perennial","UAE, Saudi Arabia, USA, Singapore"
"marigold","Karnataka, Tamil Nadu, West Bengal, Maharashtra, Andhra Pradesh","Both","Nepal, Malaysia, Sri Lanka"
"rose","Maharashtra, Karnataka, Tamil Nadu, West Bengal, Uttar Pradesh","Perennial","UAE, Saudi Arabia, Netherlands, Germany"
"almonds","Jammu & Kashmir, Himachal Pradesh","Perennial","UAE, Saudi Arabia, Nepal"
"amla","Uttar Pradesh, Madhya Pradesh, Bihar, Rajasthan, Tamil Nadu","Perennial","USA, UK, Bangladesh, Nepal"
"apple","Jammu & Kashmir, Himachal Pradesh, Uttarakhand","Perennial","Nepal, Bangladesh, UAE, Saudi Arabia"
"banana","Tamil Nadu, Maharashtra, Gujarat, Andhra Pradesh, Karnataka","Perennial","UAE, Saudi Arabia, Oman, Iran, Bangladesh"
"cashew_nut","Kerala, Karnataka, Goa, Maharashtra, Odisha","Perennial","UAE, USA, Japan, Netherlands, UK"
"coconut_fresh","Kerala, Tamil Nadu, Karnataka, Andhra Pradesh","Perennial","UAE, Saudi Arabia, Malaysia, Sri Lanka"
"grapes","Maharashtra, Karnataka, Andhra Pradesh, Tamil Nadu","Perennial","Netherlands, Russia, UK, UAE, Bangladesh"
"guava","Uttar Pradesh, Bihar, Maharashtra, Tamil Nadu, Andhra Pradesh","Perennial","UAE, Nepal, Bangladesh, Saudi Arabia"
"jackfruit","Kerala, Tamil Nadu, Assam, West Bengal, Karnataka","Perennial","UK, USA, Germany, Singapore"
"lemon","Andhra Pradesh, Tamil Nadu, Maharashtra, Gujarat, Rajasthan","Perennial","UAE, Bangladesh, Nepal, Sri Lanka"
"sweet_orange","Maharashtra, Andhra Pradesh, Punjab, Karnataka","Perennial","Bangladesh, Nepal, UAE, Sri Lanka"
"orange","Maharashtra (Nagpur), Punjab, Madhya Pradesh","Perennial","Bangladesh, UAE, Sri Lanka, Nepal"
"papaya","Andhra Pradesh, Karnataka, Maharashtra, Gujarat, West Bengal","Perennial","UAE, Qatar, Nepal, Saudi Arabia"
"pear","Jammu & Kashmir, Himachal Pradesh, Uttarakhand","Perennial","Nepal, Bangladesh, UAE"
"pineapple","West Bengal, Assam, Kerala, Tripura, Meghalaya","Perennial","UAE, Qatar, Saudi Arabia, Nepal"
"pomengranate","Maharashtra, Karnataka, Andhra Pradesh, Tamil Nadu, Gujarat","Perennial","Bangladesh, UAE, Saudi Arabia, Netherlands"
"sapota","Karnataka, Gujarat, Maharashtra, Tamil Nadu, Andhra Pradesh","Perennial","UAE, Saudi Arabia, Bangladesh"
"walnut","Jammu & Kashmir, Himachal Pradesh, Uttarakhand","Perennial","USA, UK, Germany, UAE"
"fodder","Punjab, Haryana, Uttar Pradesh, Maharashtra, Rajasthan","Both","Nepal, Bangladesh"
"gaur_seed","Rajasthan, Gujarat, Haryana","Kharif","USA, Germany, China, Japan"
"industrial_wood","Andhra Pradesh, Telangana, Odisha, Madhya Pradesh","Perennial","Nepal, Bangladesh, Sri Lanka"
"raw_rubber","Kerala, Tripura, Karnataka, Tamil Nadu, Assam","Perennial","USA, Germany, Japan, Sri Lanka"
"tobacco","Andhra Pradesh, Karnataka, Telangana, Gujarat","Both","Belgium, Egypt, Russia, Indonesia, USA"
"castor_seed","Gujarat, Rajasthan, Andhra Pradesh","Both","China, Thailand, USA, Netherlands"
"copra_coconut","Kerala, Tamil Nadu, Karnataka, Andhra Pradesh","Perennial","USA, UK, Germany, Malaysia, Sri Lanka"
"cotton_seed","Gujarat, Maharashtra, Punjab, Haryana, Telangana","Kharif","Bangladesh, Vietnam, Pakistan, China"
"gingelly_seed_sesamum","Uttar Pradesh, Rajasthan, Madhya Pradesh, Tamil Nadu, Andhra Pradesh","Kharif","Japan, South Korea, USA, Vietnam"
"groundnut_seed","Gujarat, Andhra Pradesh, Tamil Nadu, Maharashtra, Karnataka","Kharif","Indonesia, Vietnam, Philippines, Malaysia"
"linseed","Madhya Pradesh, Uttar Pradesh, Chhattisgarh, Bihar","Rabi","Nepal, Bangladesh"
"niger_seed","Odisha, Chhattisgarh, Andhra Pradesh, Madhya Pradesh","Kharif","USA, UK, Germany"
"rape_mustard_seed","Rajasthan, Uttar Pradesh, Haryana, Madhya Pradesh","Rabi","Nepal, Bangladesh, UAE"
"safflower_kardi_seed","Maharashtra, Karnataka, Andhra Pradesh","Rabi","USA, Germany, UK"
